Reaction Time,Reversal Duration
0.7,2.725
0.5375,2.225
0.85,35.975
0.875,5.85
0.725,20.3
1.0125,14.9125
0.5625,5.15
0.3125,2.6875
0.5375,16.875
0.6,21.1375
0.5,2.5
0.4,25.75
1.5875,23.9375
1.075,4.25
0.5125,2.525
1.25,1.825
0.325,2.75
0.3,4.3625
0.6625,4.3375
1.1375,2.5125
0.7375,23.5375
0.675,4.7875
0.5125,46.0625
0.5,2.7375
0.525,25.6125
0.6125,2.45
0.6125,4.975
0.55,6.475
0.7375,6.725
0.45,5.125
0.7125,5.05
0.6875,2.7875
0.6875,2.975
0.9875,4.875
1.0,7.2375
1.6,24.2375
0.7,19.1375
0.95,6.425
1.3375,1.875
0.6875,1.3125
0.1125,6.325
1.0375,15.525
0.875,10.4625
0.3125,2.0125
0.3,6.0
0.45,4.4375
0.325,7.7625
0.1375,14.6625
0.3,4.8625
0.4125,2.625
0.45,2.6875
0.5625,2.825
0.475,2.525
0.425,2.975
0.4375,2.7
0.6875,2.4125
0.4375,6.5875
0.5625,2.725
0.4125,3.1125
1.3125,2.1125
0.4375,11.075
0.3875,22.45
0.45,9.6125
0.4625,2.2875
0.425,8.1875
0.425,6.175
0.675,3.9125
0.225,3.4875
0.3,4.4375
0.325,5.65
0.4375,3.975
0.3,4.25
0.3875,15.5125
0.5625,4.2
1.0,3.275
0.725,5.275
0.375,4.0875
1.4625,6.0875
0.8875,4.7625
0.35,4.0875
0.05,11.2
0.575,22.6
0.45,7.0375
0.4375,3.175
0.525,6.7625
0.3,8.425
0.4,16.1125
0.4,18.75
0.725,12.5
0.275,12.175
0.6375,20.2375
0.4375,15.1625
1.0125,2.025
0.6125,8.425
0.6125,21.1875
0.5875,13.975
0.725,11.2625
0.575,5.5375
0.65,8.625
0.475,25.2375
0.675,3.7625
1.125,5.2
1.2875,2.4125
0.15,17.3125
0.675,19.475
0.9,3.2625
0.6375,3.4875
0.95,6.5
0.6875,15.4125
0.5875,25.225
1.3625,1.6
0.65,4.9375
0.4875,8.825
0.6875,6.05
0.6625,6.725
0.5875,18.6625
0.9125,5.1625
1.3125,1.55
0.5875,4.275
0.5875,18.8875
0.5375,6.4375
0.6875,4.85
0.55,8.45
0.9,7.3625
0.2125,8.9625
0.65,6.475
1.35,2.55
1.1,12.45
0.525,12.725
0.5,8.95
0.8875,5.7125
0.7875,4.425
0.9,2.55
0.9125,5.6375
0.75,9.25
