Intensity,Reaction Time,Reversal Duration
10,0.875,15.0125
80,1.875,20.7
60,1.675,1.425
80,1.1375,26.775
10,0.6125,1.0
80,1.2,9.875
20,0.9125,11.9625
60,1.5125,3.8875
20,1.0,1.3125
20,0.2,0.7375
60,1.175,1.7
80,0.4875,1.3
80,1.125,11.35
0,1.7125,12.75
40,1.625,10.025
0,0.9375,5.4875
60,1.2875,9.75
80,0.7625,6.7625
60,1.5125,1.525
40,0.2375,10.3625
10,1.5375,0.7625
